Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
339,JUNIUS ST,3,JUNIUS ST - 3,,,N,,N,N
340,KEW GARDENS,EF,KEW GARDENS - EF,,,N,,N,N
341,KINGS HWY,BQ,KINGS HWY - BQ,,,N,,N,N
342,KINGS HWY,F,KINGS HWY - F,,,N,,N,N
343,KINGS HWY,N,KINGS HWY - N,,,N,,N,N
344,KINGSBRIDGE RD,4,KINGSBRIDGE RD - 4,,,N,,N,N
345,KINGSBRIDGE RD,BD,KINGSBRIDGE RD - BD,,,N,,N,N
346,KINGSTON AV,3,KINGSTON AV - 3,,,N,,N,N
347,KINGSTON-THROOP,C,KINGSTON-THROOP - C,,,N,,N,N
348,KNICKERBOCKER,M,KNICKERBOCKER - M,,,N,,N,N
349,KOSCIUSZKO ST,J,KOSCIUSZKO ST - J,,,N,,N,N
350,LACKAWANNA,1,LACKAWANNA - 1,,,N,,N,N
351,LAFAYETTE AV,C,LAFAYETTE AV - C,,,N,,N,N
352,LEXINGTON AV/53,EM6,LEXINGTON AV/53 - EM6,,,N,,N,N
353,LEXINGTON AV/63,F,LEXINGTON AV/63 - F,MN40,Upper East Side-Carnegie Hill,N,,N,N
354,LIBERTY AV,C,LIBERTY AV - C,,,N,,N,N
355,LIVONIA AV,L,LIVONIA AV - L,,,N,,N,N
356,LONGWOOD AV,6,LONGWOOD AV - 6,,,N,,N,N
357,LORIMER ST,JM,LORIMER ST - JM,,,N,,N,N
358,LORIMER ST,LG,LORIMER ST - LG,,,N,,N,N
359,MARBLE HILL-225,1,MARBLE HILL-225 - 1,,,N,,N,N
360,MARCY AV,JMZ,MARCY AV - JMZ,,,N,,N,N
361,METROPOLITAN AV,GL,METROPOLITAN AV - GL,,,N,,N,N
362,METROPOLITAN AV,M,METROPOLITAN AV - M,,,N,,N,N
363,METS-WILLETS PT,7,METS-WILLETS PT - 7,,,N,,N,N
364,MIDDLETOWN RD,6,MIDDLETOWN RD - 6,,,N,,N,N
365,MONTROSE AV,L,MONTROSE AV - L,,,N,,N,N
366,MORGAN AV,L,MORGAN AV - L,,,N,,N,N
367,MORISN AV/SNDVW,6,MORISN AV/SNDVW - 6,,,N,,N,N
368,MORRIS PARK,5,MORRIS PARK - 5,,,N,,N,N
369,MOSHOLU PKWY,4,MOSHOLU PKWY - 4,,,N,,N,N
370,MT EDEN AV,4,MT EDEN AV - 4,,,N,,N,N
371,MYRTLE AV,JMZ,MYRTLE AV - JMZ,,,N,,N,N
372,MYRTLE-WILLOUGH,G,MYRTLE-WILLOUGH - G,,,N,,N,N
373,MYRTLE-WYCKOFF,LM,MYRTLE-WYCKOFF - LM,,,N,,N,N
374,NASSAU AV,G,NASSAU AV - G,,,N,,N,N
375,NECK RD,BQ,NECK RD - BQ,,,N,,N,N
376,NEPTUNE AV,F,NEPTUNE AV - F,,,N,,N,N
377,NEREID AV,25,NEREID AV - 25,,,N,,N,N
378,NEVINS ST,2345,NEVINS ST - 2345,,,N,,N,N
379,NEW LOTS,L,NEW LOTS - L,,,N,,N,N
380,NEW LOTS AV,3,NEW LOTS AV - 3,,,N,,N,N
381,NEW UTRECHT AV,ND,NEW UTRECHT AV - ND,,,N,,N,N
382,NEWARK BM BW,1,NEWARK BM BW - 1,,,N,,N,N
383,NEWARK C,1,NEWARK C - 1,,,N,,N,N
384,NEWARK HM HE,1,NEWARK HM HE - 1,,,N,,N,N
385,NEWARK HW BMEBE,1,NEWARK HW BMEBE - 1,,,N,,N,N
386,NEWKIRK AV,25,NEWKIRK AV - 25,,,N,,N,N
387,NEWKIRK PLAZA,BQ,NEWKIRK PLAZA - BQ,,,N,,N,N
