Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
149,80 ST,A,80 ST - A,,,N,,N,N
150,81 ST-MUSEUM,BC,81 ST-MUSEUM - BC,,,N,,N,N
151,82 ST-JACKSON H,7,82 ST-JACKSON H - 7,,,N,,N,N
152,85 ST-FOREST PK,J,85 ST-FOREST PK - J,,,N,,N,N
153,86 ST,1,86 ST - 1,MN12,Upper West Side,N,,N,N
154,86 ST,456,86 ST - 456,MN40,Upper East Side-Carnegie Hill,N,,N,N
155,86 ST,BC,86 ST - BC,,,N,,N,N
156,86 ST,N,86 ST - N,,,N,,N,N
157,86 ST,R,86 ST - R,,,N,,N,N
158,86 ST-2 AVE,Q,86 ST-2 AVE - Q,MN32,Yorkville,N,,N,N
159,88 ST,A,88 ST - A,,,N,,N,N
160,9 AV,D,9 AV - D,,,N,,N,N
161,90 ST-ELMHURST,7,90 ST-ELMHURST - 7,,,N,,N,N
162,96 ST,123,96 ST - 123,MN12,Upper West Side,N,,N,N
163,96 ST,6,96 ST - 6,MN40,Upper East Side-Carnegie Hill,N,,N,N
164,96 ST,BC,96 ST - BC,,,N,,N,N
165,96 ST-2 AVE,Q,96 ST-2 AVE - Q,MN32,Yorkville,N,,N,N
166,9TH STREET,1,9TH STREET - 1,,,N,,N,N
167,ALABAMA AV,J,ALABAMA AV - J,,,N,,N,N
168,ALLERTON AV,25,ALLERTON AV - 25,,,N,,N,N
169,AQUEDUCT N.COND,A,AQUEDUCT N.COND - A,,,N,,N,N
170,AQUEDUCT RACETR,A,AQUEDUCT RACETR - A,,,N,,N,N
171,ASTOR PL,6,ASTOR PL - 6,MN23,West Village,N,,N,N
172,ASTORIA BLVD,NQW,ASTORIA BLVD - NQW,,,N,,N,N
173,ASTORIA DITMARS,NQW,ASTORIA DITMARS - NQW,,,N,,N,N
174,ATL AV-BARCLAY,2345BDNQR,ATL AV-BARCLAY - 2345BDNQR,,,N,,N,N
175,ATL AV-BARCLAY,BDNQR2345,ATL AV-BARCLAY - BDNQR2345,,,N,,N,N
176,ATLANTIC AV,L,ATLANTIC AV - L,,,N,,N,N
177,AVENUE H,BQ,AVENUE H - BQ,,,N,,N,N
178,AVENUE I,F,AVENUE I - F,,,N,,N,N
179,AVENUE J,BQ,AVENUE J - BQ,,,N,,N,N
180,AVENUE M,BQ,AVENUE M - BQ,,,N,,N,N
181,AVENUE N,F,AVENUE N - F,,,N,,N,N
182,AVENUE P,F,AVENUE P - F,,,N,,N,N
183,AVENUE U,BQ,AVENUE U - BQ,,,N,,N,N
184,AVENUE U,F,AVENUE U - F,,,N,,N,N
185,AVENUE U,N,AVENUE U - N,,,N,,N,N
186,AVENUE X,F,AVENUE X - F,,,N,,N,N
188,BAY 50 ST,D,BAY 50 ST - D,,,N,,N,N
189,BAY PKWY,D,BAY PKWY - D,,,N,,N,N
190,BAY PKWY,F,BAY PKWY - F,,,N,,N,N
191,BAY PKWY,N,BAY PKWY - N,,,N,,N,N
192,BAY RIDGE AV,R,BAY RIDGE AV - R,,,N,,N,N
193,BAY RIDGE-95 ST,R,BAY RIDGE-95 ST - R,,,N,,N,N
194,BAYCHESTER AV,5,BAYCHESTER AV - 5,,,N,,N,N
195,BEACH 105 ST,AS,BEACH 105 ST - AS,,,N,,N,N
196,BEACH 25 ST,A,BEACH 25 ST - A,,,N,,N,N
197,BEACH 36 ST,A,BEACH 36 ST - A,,,N,,N,N
198,BEACH 44 ST,A,BEACH 44 ST - A,,,N,,N,N
199,BEACH 60 ST,A,BEACH 60 ST - A,,,N,,N,N
200,BEACH 67 ST,A,BEACH 67 ST - A,,,N,,N,N
201,BEACH 90 ST,AS,BEACH 90 ST - AS,,,N,,N,N
202,BEACH 98 ST,AS,BEACH 98 ST - AS,,,N,,N,N
203,BEDFORD AV,L,BEDFORD AV - L,,,N,,N,N
204,BEDFORD PK BLVD,4,BEDFORD PK BLVD - 4,,,N,,N,N
205,BEDFORD PK BLVD,BD,BEDFORD PK BLVD - BD,,,N,,N,N
206,BEDFORD-NOSTRAN,G,BEDFORD-NOSTRAN - G,,,N,,N,N
207,BERGEN ST,23,BERGEN ST - 23,BK37,Park Slope-Gowanus,N,,N,N
208,BERGEN ST,FG,BERGEN ST - FG,,,N,,N,N
209,BEVERLEY ROAD,BQ,BEVERLEY ROAD - BQ,,,N,,N,N
210,BEVERLY RD,25,BEVERLY RD - 25,,,N,,N,N
211,BLEECKER ST,6DF,BLEECKER ST - 6DF,MN23,West Village,N,,N,N
212,BOROUGH HALL,2345R,BOROUGH HALL - 2345R,,,N,,N,N
213,BOROUGH HALL,R2345,BOROUGH HALL - R2345,,,N,,N,N
214,BOTANIC GARDEN,S2345,BOTANIC GARDEN - S2345,,,N,,N,N
215,BOWERY,JZ,BOWERY - JZ,,,N,,N,N
216,BOWLING GREEN,45,BOWLING GREEN - 45,MN25,Battery Park City-Lower Manhattan,N,,N,N
217,BRIARWOOD,EF,BRIARWOOD - EF,,,N,,N,N
218,BRIGHTON BEACH,BQ,BRIGHTON BEACH - BQ,,,N,,N,N
219,BROAD CHANNEL,AS,BROAD CHANNEL - AS,,,N,,N,N
220,BROAD ST,JZ,BROAD ST - JZ,MN25,Battery Park City-Lower Manhattan,N,,N,N
221,BROADWAY,G,BROADWAY - G,,,N,,N,N
222,BROADWAY,NQW,BROADWAY - NQW,,,N,,N,N
223,BROADWAY JCT,ACJLZ,BROADWAY JCT - ACJLZ,,,N,,N,N
224,BRONX PARK EAST,25,BRONX PARK EAST - 25,,,N,,N,N
225,BROOK AV,6,BROOK AV - 6,,,N,,N,N
226,BROOKLYN BRIDGE,456JZ,BROOKLYN BRIDGE - 456JZ,,,N,,N,N
227,BUHRE AV,6,BUHRE AV - 6,,,N,,N,N
228,BURKE AV,25,BURKE AV - 25,,,N,,N,N
229,BURNSIDE AV,4,BURNSIDE AV - 4,,,N,,N,N
230,BUSHWICK AV,L,BUSHWICK AV - L,,,N,,N,N
187,B'WAY-LAFAYETTE,BDFQ6,B'WAY-LAFAYETTE - BDFQ6,,,N,,N,N
231,CANAL ST,1,CANAL ST - 1,,,N,,N,N
232,CANAL ST,ACE,CANAL ST - ACE,,,N,,N,N
233,CANAL ST,JNQRZ6W,CANAL ST - JNQRZ6W,,,N,,N,N
234,CANARSIE-ROCKAW,L,CANARSIE-ROCKAW - L,,,N,,N,N
235,CARROLL ST,FG,CARROLL ST - FG,,,N,,N,N
236,CASTLE HILL AV,6,CASTLE HILL AV - 6,,,N,,N,N
237,CATHEDRAL PKWY,1,CATHEDRAL PKWY - 1,MN09,Morningside Heights,N,,N,N
238,CENTRAL AV,M,CENTRAL AV - M,,,N,,N,N
239,CENTRAL PK N110,23,CENTRAL PK N110 - 23,,,N,,N,N
240,CHAMBERS ST,123,CHAMBERS ST - 123,,,N,,N,N
241,CHAMBERS ST,ACE23,CHAMBERS ST - ACE23,,,N,,N,N
242,CHAMBERS ST,JZ456,CHAMBERS ST - JZ456,,,N,,N,N
243,CHAUNCEY ST,JZ,CHAUNCEY ST - JZ,,,N,,N,N
244,CHRISTOPHER ST,1,CHRISTOPHER ST - 1,MN23,West Village,N,,N,N
245,CHURCH AV,25,CHURCH AV - 25,,,N,,N,N
246,CHURCH AV,BQ,CHURCH AV - BQ,,,N,,N,N
247,CHURCH AV,FG,CHURCH AV - FG,,,N,,N,N
248,CITY / BUS,1,CITY / BUS - 1,,,N,,N,N
249,CITY HALL,NRW,CITY HALL - NRW,MN24,SoHo-TriBeCa-Civic Center-Little Italy,Y,Pace University,N,N
250,CLARK ST,23,CLARK ST - 23,BK09,Brooklyn Heights-Cobble Hill,N,,N,N
251,CLASSON AV,G,CLASSON AV - G,,,N,,N,N
252,CLEVELAND ST,J,CLEVELAND ST - J,,,N,,N,N
253,CLINTON-WASH AV,C,CLINTON-WASH AV - C,,,N,,N,N
254,CLINTON-WASH AV,G,CLINTON-WASH AV - G,,,N,,N,N
255,CONEY IS-STILLW,DFNQ,CONEY IS-STILLW - DFNQ,,,N,,N,N
256,CORTELYOU RD,BQ,CORTELYOU RD - BQ,,,N,,N,N
